season,round,pick_in_round,overall_pick,draft_slot,slot_owner_roster_id,roster_id,traded_pick,user_id,manager,team_name,player_id,player_name,position,nfl_team,years_exp,is_keeper
2024,13,4,124,4,7,7,0,735974647736213504,KingTowsk,Leeroy Jenkins,11589,Trey Benson,RB,ARI,0,False
2024,13,5,125,5,3,3,0,737091087440674816,MaxSirianni,Joeybagofdonuts2.0,11586,Blake Corum,RB,LAR,0,False
2024,13,6,126,6,6,6,0,736740647758938112,JSanDusky69,Respect Your Elders,9228,Bryce Young,QB,CAR,1,False
2024,13,7,127,7,8,8,0,736803054736822272,TylerWicks,Dont stop Bo-lievin’,6783,Jerry Jeudy,WR,CLE,4,False
2024,13,8,128,8,5,5,0,716698629934481408,kaufmannc,Clownin’ Around,4082,Curtis Samuel,WR,BUF,7,False
2024,13,9,129,9,1,1,0,608781531883859968,bgreenblatt,Love Thy Nabers,11625,Adonai Mitchell,WR,IND,0,False
2024,13,10,130,10,10,10,0,475399371639222272,cc5597,The Problems,3164,Ezekiel Elliott,RB,DAL,8,False
2024,14,10,131,10,10,10,0,475399371639222272,cc5597,The Problems,SF,San Francisco 49ers,DEF,SF,,False
2024,14,9,132,9,1,1,0,608781531883859968,bgreenblatt,Love Thy Nabers,11565,J.J. McCarthy,QB,MIN,0,False
2024,14,8,133,8,5,5,0,716698629934481408,kaufmannc,Clownin’ Around,10859,Sam LaPorta,TE,DET,1,True
2024,14,7,134,7,8,8,0,736803054736822272,TylerWicks,Dont stop Bo-lievin’,BUF,Buffalo Bills,DEF,BUF,,True
2024,14,6,135,6,6,6,0,736740647758938112,JSanDusky69,Respect Your Elders,8121,Romeo Doubs,WR,GB,2,False
2024,14,5,136,5,3,3,0,737091087440674816,MaxSirianni,Joeybagofdonuts2.0,DAL,Dallas Cowboys,DEF,DAL,,False
2024,14,4,137,4,7,7,0,735974647736213504,KingTowsk,Leeroy Jenkins,8143,Jerome Ford,RB,CLE,2,False
2024,14,3,138,3,9,9,0,710284244835979264,brockhusk,Brauk Tua Spit On That,2374,Tyler Lockett,WR,SEA,9,False
2024,14,2,139,2,4,4,0,736744257179770880,jdrobny,Stick in the Mud,1689,Adam Thielen,WR,CAR,11,True
2024,14,1,140,1,2,2,0,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,11533,Brandon Aubrey,K,DAL,1,False
2024,15,1,141,1,2,2,0,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,7591,Justin Fields,QB,PIT,3,False
2024,15,2,142,2,4,4,0,736744257179770880,jdrobny,Stick in the Mud,BAL,Baltimore Ravens,DEF,BAL,,False
2024,15,3,143,3,9,9,0,710284244835979264,brockhusk,Brauk Tua Spit On That,NYJ,New York Jets,DEF,NYJ,,True
2024,15,4,144,4,7,7,0,735974647736213504,KingTowsk,Leeroy Jenkins,11564,Drake Maye,QB,NE,0,False
2024,15,5,145,5,3,3,0,737091087440674816,MaxSirianni,Joeybagofdonuts2.0,7839,Evan McPherson,K,CIN,3,False
2024,15,6,146,6,6,6,0,736740647758938112,JSanDusky69,Respect Your Elders,4227,Harrison Butker,K,KC,7,False
2024,15,7,147,7,8,8,0,736803054736822272,TylerWicks,Dont stop Bo-lievin’,9486,Dontayvion Wicks,WR,GB,1,False
2024,15,8,148,8,5,5,0,716698629934481408,kaufmannc,Clownin’ Around,4666,Younghoe Koo,K,ATL,7,False
2024,15,9,149,9,1,1,0,608781531883859968,bgreenblatt,Love Thy Nabers,10937,Jake Moody,K,SF,1,False
2024,15,10,150,10,10,10,0,475399371639222272,cc5597,The Problems,5119,Jason Sanders,K,MIA,6,False
2024,16,10,151,10,10,10,0,475399371639222272,cc5597,The Problems,5022,Dallas Goedert,TE,PHI,6,False
2024,16,9,152,9,1,1,0,608781531883859968,bgreenblatt,Love Thy Nabers,7670,Joshua Palmer,WR,LAC,3,False
2024,16,8,153,8,5,5,0,716698629934481408,kaufmannc,Clownin’ Around,PIT,Pittsburgh Steelers,DEF,PIT,,False
2024,16,7,154,7,8,8,0,736803054736822272,TylerWicks,Dont stop Bo-lievin’,4195,Jake Elliott,K,PHI,7,False
2024,16,6,155,6,6,6,0,736740647758938112,JSanDusky69,Respect Your Elders,CLE,Cleveland Browns,DEF,CLE,,False
2024,16,5,156,5,3,7,1,735974647736213504,KingTowsk,Leeroy Jenkins,11626,Xavier Legette,WR,CAR,0,False
2024,16,4,157,4,7,7,0,735974647736213504,KingTowsk,Leeroy Jenkins,CIN,Cincinnati Bengals,DEF,CIN,,False
2024,16,3,158,3,9,9,0,710284244835979264,brockhusk,Brauk Tua Spit On That,7594,Chuba Hubbard,RB,CAR,3,False
2024,16,2,159,2,4,4,0,736744257179770880,jdrobny,Stick in the Mud,6826,Cole Kmet,TE,CHI,4,False
2024,16,1,160,1,2,2,0,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,6806,J.K. Dobbins,RB,LAC,4,False
