season,week,roster_id,manager,team_name,points,opponent_roster_id,opponent_manager,opponent_points,result,is_playoff
2024,4,10,cc5597,The Problems,115.62,8,TylerWicks,110.45,W,False
2024,5,1,bgreenblatt,Love Thy Nabers,175.64,9,brockhusk,195.21,L,False
2024,5,2,Erjohnson14,Johnson’s Lil Johnson,149.25,4,jdrobny,109.45,W,False
2024,5,3,MaxSirianni,Joeybagofdonuts2.0,113.29,8,TylerWicks,118.27,L,False
2024,5,4,jdrobny,Stick in the Mud,109.45,2,Erjohnson14,149.25,L,False
2024,5,5,kaufmannc,Clownin’ Around,168.91,7,KingTowsk,164.09,W,False
2024,5,6,JSanDusky69,Respect Your Elders,159.66,10,cc5597,99.35,W,False
2024,5,7,KingTowsk,Leeroy Jenkins,164.09,5,kaufmannc,168.91,L,False
2024,5,8,TylerWicks,Dont stop Bo-lievin’,118.27,3,MaxSirianni,113.29,W,False
2024,5,9,brockhusk,Brauk Tua Spit On That,195.21,1,bgreenblatt,175.64,W,False
2024,5,10,cc5597,The Problems,99.35,6,JSanDusky69,159.66,L,False
2024,6,1,bgreenblatt,Love Thy Nabers,162.77,8,TylerWicks,74.11,W,False
2024,6,2,Erjohnson14,Johnson’s Lil Johnson,111.85,5,kaufmannc,142.41,L,False
2024,6,3,MaxSirianni,Joeybagofdonuts2.0,158.15,10,cc5597,148.93,W,False
2024,6,4,jdrobny,Stick in the Mud,126.44,6,JSanDusky69,159.58,L,False
2024,6,5,kaufmannc,Clownin’ Around,142.41,2,Erjohnson14,111.85,W,False
2024,6,6,JSanDusky69,Respect Your Elders,159.58,4,jdrobny,126.44,W,False
2024,6,7,KingTowsk,Leeroy Jenkins,146.88,9,brockhusk,137.66,W,False
2024,6,8,TylerWicks,Dont stop Bo-lievin’,74.11,1,bgreenblatt,162.77,L,False
2024,6,9,brockhusk,Brauk Tua Spit On That,137.66,7,KingTowsk,146.88,L,False
2024,6,10,cc5597,The Problems,148.93,3,MaxSirianni,158.15,L,False
2024,7,1,bgreenblatt,Love Thy Nabers,143.29,10,cc5597,106.22,W,False
2024,7,2,Erjohnson14,Johnson’s Lil Johnson,138.62,8,TylerWicks,119.67,W,False
2024,7,3,MaxSirianni,Joeybagofdonuts2.0,142.72,7,KingTowsk,149.78,L,False
2024,7,4,jdrobny,Stick in the Mud,138.82,5,kaufmannc,140.16,L,False
2024,7,5,kaufmannc,Clownin’ Around,140.16,4,jdrobny,138.82,W,False
2024,7,6,JSanDusky69,Respect Your Elders,81.66,9,brockhusk,165.66,L,False
2024,7,7,KingTowsk,Leeroy Jenkins,149.78,3,MaxSirianni,142.72,W,False
2024,7,8,TylerWicks,Dont stop Bo-lievin’,119.67,2,Erjohnson14,138.62,L,False
2024,7,9,brockhusk,Brauk Tua Spit On That,165.66,6,JSanDusky69,81.66,W,False
2024,7,10,cc5597,The Problems,106.22,1,bgreenblatt,143.29,L,False
2024,8,1,bgreenblatt,Love Thy Nabers,169.28,7,KingTowsk,172.85,L,False
2024,8,2,Erjohnson14,Johnson’s Lil Johnson,124.94,10,cc5597,177.5,L,False
2024,8,3,MaxSirianni,Joeybagofdonuts2.0,101.79,9,brockhusk,175.53,L,False
2024,8,4,jdrobny,Stick in the Mud,149.74,8,TylerWicks,191.27,L,False
2024,8,5,kaufmannc,Clownin’ Around,99.41,6,JSanDusky69,127.38,L,False
2024,8,6,JSanDusky69,Respect Your Elders,127.38,5,kaufmannc,99.41,W,False
2024,8,7,KingTowsk,Leeroy Jenkins,172.85,1,bgreenblatt,169.28,W,False
2024,8,8,TylerWicks,Dont stop Bo-lievin’,191.27,4,jdrobny,149.74,W,False
2024,8,9,brockhusk,Brauk Tua Spit On That,175.53,3,MaxSirianni,101.79,W,False
2024,8,10,cc5597,The Problems,177.5,2,Erjohnson14,124.94,W,False
2024,9,1,bgreenblatt,Love Thy Nabers,147.01,5,kaufmannc,103.1,W,False
2024,9,2,Erjohnson14,Johnson’s Lil Johnson,176.4,7,KingTowsk,174.94,W,False
2024,9,3,MaxSirianni,Joeybagofdonuts2.0,115.86,4,jdrobny,129.63,L,False
2024,9,4,jdrobny,Stick in the Mud,129.63,3,MaxSirianni,115.86,W,False
2024,9,5,kaufmannc,Clownin’ Around,103.1,1,bgreenblatt,147.01,L,False
2024,9,6,JSanDusky69,Respect Your Elders,145.71,8,TylerWicks,120.15,W,False
2024,9,7,KingTowsk,Leeroy Jenkins,174.94,2,Erjohnson14,176.4,L,False
2024,9,8,TylerWicks,Dont stop Bo-lievin’,120.15,6,JSanDusky69,145.71,L,False
2024,9,9,brockhusk,Brauk Tua Spit On That,162.26,10,cc5597,128.23,W,False
